id;id_researcher;bibcode;years;citations;reads
33;6.0;2018MNRAS.474.2039E;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 11, 27, 29, 19, 22, 16, 5};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 500, 226, 218, 180, 120, 147, 16}
34;6.0;2015A&A...576A.135G;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{14, 28, 28, 19, 23, 18, 16, 11, 12, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 622, 380, 209, 184, 211, 174, 107, 112, 105, 20}
35;6.0;2023ApJ...952..122G;{'2024'};{2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 13}
36;6.0;2021MNRAS.505L..46E;{'2021', '2022', '2023', '2024'};{2, 13, 12, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 321, 213, 130, 24}
37;6.0;2018ApJ...860...92L;{'2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 12, 8, 13, 10, 8, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 280, 236, 189, 148, 118, 14}
38;6.0;2013A&A...549A..87H;{'2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{9, 16, 22, 20, 26, 15, 19, 16, 15, 5, 9, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 820, 584, 367, 209, 187, 164, 165, 146, 96, 59, 65, 16}
39;6.0;2021MNRAS.508.4844N;{'2021', '2022', '2023', '2024'};{1, 4, 6, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 182, 126, 16}
40;6.0;2016MNRAS.463.2513B;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{9, 11, 11, 12, 12, 12, 8, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 280, 164, 137, 232, 97, 83, 141, 16}
41;6.0;2022RASTI...1....3L;{'2023', '2024'};{2, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 138, 23}
42;6.0;2023arXiv230413070S;{'2024'};{0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 10}
43;6.0;2022ApJ...939...40L;{'2023', '2024'};{3, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 107, 15}
44;6.0;2021MNRAS.503.3643B;{'2021', '2022', '2023', '2024'};{7, 13, 6, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 354, 141, 122, 11}
45;6.0;2021ApJ...923...60V;{'2022', '2023', '2024'};{3, 2, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 227, 99, 10}
46;6.0;2022MNRAS.512.3436E;{'2022', '2023', '2024'};{5, 4, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 97, 12}
47;6.0;2020MNRAS.494.1622E;{'2020', '2021', '2022', '2023', '2024'};{2, 10, 15, 4, 5};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 179, 138, 107, 11}
48;6.0;2021RMxAA..57....3S;{'2021', '2022', '2023', '2024'};{12, 14, 12, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 240, 143, 95, 9}
49;6.0;2022ApJ...929...47A;{'2022', '2023', '2024'};{2, 3, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 74, 5}
50;6.0;2017MNRAS.469.2121S;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{3, 12, 31, 22, 10, 13, 7, 8};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 395, 312, 212, 142, 122, 66, 85, 12}
51;6.0;2015A&A...582A..21B;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{2, 8, 8, 8, 11, 12, 15, 12, 11, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 204, 113, 111, 143, 112, 129, 72, 90, 5}
